testament,book_id,book_name,chapter,verse,word_index,o,r_before,r_after
ВЗ,genesis,Бытие,4,4,8,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,4,6,1,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,4,8,7,וַֽיְהִי֙,"и, оно был",и было
ВЗ,genesis,Бытие,4,9,1,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,4,13,3,יְהוָ֑ה,Яхве,Господь
ВЗ,genesis,Бытие,4,15,1,ל֣וֹ,"к, его",к нему
ВЗ,genesis,Бытие,4,15,2,יְהוָ֗ה,Яхве,Господь
ВЗ,genesis,Бытие,4,15,10,יְהוָ֤ה,Яхве,Господь
ВЗ,genesis,Бытие,4,16,3,יְהוָ֑ה,Яхве,Господь
ВЗ,genesis,Бытие,4,26,13,יְהוָֽה\׃\ \פ,Яхве,Господь
ВЗ,genesis,Бытие,5,23,0,וַיְהִ֖י,"и, оно был",и было
ВЗ,genesis,Бытие,5,29,4,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,5,29,14,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,5,31,0,וַֽיְהִי֙,"и, оно был",и было
ВЗ,genesis,Бытие,6,1,0,וַֽיְהִי֙,"и, оно был",и было
ВЗ,genesis,Бытие,6,3,1,יְהוָ֗ה,Яхве,Господь
ВЗ,genesis,Бытие,6,4,20,מֵעוֹלָ֖ם,"были от, долгий назад","были от, давно"
ВЗ,genesis,Бытие,6,5,1,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,6,6,1,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,6,7,1,יְהוָ֗ה,Яхве,Господь
ВЗ,genesis,Бытие,6,8,4,יְהוָֽה\׃\ \פ,Яхве,Господь
ВЗ,genesis,Бытие,6,11,0,וַתִּשָּׁחֵ֥ת,"и, оно был коррупт",и было коррупт
ВЗ,genesis,Бытие,6,11,4,וַתִּמָּלֵ֥א,"и, оно был наполнил",и было наполнил
ВЗ,genesis,Бытие,7,1,1,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,7,5,5,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,7,10,0,וַֽיְהִ֖י,"и, оно был",и было
ВЗ,genesis,Бытие,7,11,21,נִפְתָּֽחוּ\׃,они были открыл,открылись
ВЗ,genesis,Бытие,7,12,0,וַֽיְהִ֥י,"и, оно был",и было
ВЗ,genesis,Бытие,7,16,11,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,7,17,0,וַֽיְהִ֧י,"и, оно был",и было
ВЗ,genesis,Бытие,8,2,5,וַיִּכָּלֵ֥א,"и, оно был рестраинед",и было рестраинед
ВЗ,genesis,Бытие,8,6,0,וַֽיְהִ֕י,"и, оно был",и было
ВЗ,genesis,Бытие,8,9,7,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,8,9,21,אֵלָ֖יו,"к, его",к нему
ВЗ,genesis,Бытие,8,11,0,וַתָּבֹ֨א,"и, оно пришёл","и, было"
ВЗ,genesis,Бытие,8,11,1,אֵלָ֤יו,"к, его",к нему
ВЗ,genesis,Бытие,8,12,11,אֵלָ֖יו,"к, его",к нему
ВЗ,genesis,Бытие,8,13,0,וַֽ֠יְהִי,"и, оно был",и было
ВЗ,genesis,Бытие,8,15,4,לֵאמֹֽר\׃,"к, говоря",говоря
ВЗ,genesis,Бытие,8,20,3,לַֽיהוָ֑ה,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,8,21,1,יְהוָה֮,Яхве,Господь
ВЗ,genesis,Бытие,8,21,6,יְהוָ֜ה,Яхве,Господь
ВЗ,genesis,Бытие,9,8,7,לֵאמֹֽר\׃,"к, говоря",говоря
ВЗ,genesis,Бытие,9,24,7,ל֖וֹ,"к, его",к нему
ВЗ,genesis,Бытие,9,26,2,יְהֹוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,10,9,5,יְהוָ֑ה,Яхве,Господь
ВЗ,genesis,Бытие,10,9,13,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,10,10,0,וַתְּהִ֨י,"и, оно был",и было
ВЗ,genesis,Бытие,10,19,0,וַֽיְהִ֞י,"и, оно был",и было
ВЗ,genesis,Бытие,10,30,0,וַֽיְהִ֥י,"и, оно был",и было
ВЗ,genesis,Бытие,11,1,0,וַֽיְהִ֥י,"и, оно был",и было
ВЗ,genesis,Бытие,11,2,0,וַֽיְהִ֖י,"и, оно был",и было
ВЗ,genesis,Бытие,11,5,1,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,11,6,1,יְהוָ֗ה,Яхве,Господь
ВЗ,genesis,Бытие,11,8,1,יְהוָ֥ה,Яхве,Господь
ВЗ,genesis,Бытие,11,9,8,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,11,9,14,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,12,1,1,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,12,4,4,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,12,4,5,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,12,7,1,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,12,7,13,לַיהוָ֖ה,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,12,7,15,אֵלָֽיו\׃,"к, его",к нему
ВЗ,genesis,Бытие,12,8,16,לַֽיהוָ֔ה,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,12,8,19,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,12,10,0,וַיְהִ֥י,"и, оно был",и было
ВЗ,genesis,Бытие,12,11,0,וַיְהִ֕י,"и, оно был",и было
ВЗ,genesis,Бытие,12,14,0,וַיְהִ֕י,"и, оно был",и было
ВЗ,genesis,Бытие,12,16,4,ל֤וֹ,"к, его",к нему
ВЗ,genesis,Бытие,12,17,1,יְהוָ֧ה\׀,Яхве,Господь
ВЗ,genesis,Бытие,12,20,11,לֽוֹ\׃,"принадлежал к, его",принадлежал к нему
ВЗ,genesis,Бытие,13,1,7,ל֛וֹ,"принадлежал к, его",принадлежал к нему
ВЗ,genesis,Бытие,13,4,11,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,13,7,0,וַֽיְהִי\־,"и, оно был",и было
ВЗ,genesis,Бытие,13,10,14,יְהוָ֗ה,Яхве,Господь
ВЗ,genesis,Бытие,13,10,20,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,13,13,4,לַיהוָ֖ה,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,13,14,0,וַֽיהוָ֞ה,"и, Яхве","и, Господь"
ВЗ,genesis,Бытие,13,18,11,לַֽיהוָֽה\׃\ \פ,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,14,1,0,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,14,20,8,ל֥וֹ,"к, его",к нему
ВЗ,genesis,Бытие,14,22,8,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,15,1,3,הָיָ֤ה,оно пришёл,было
ВЗ,genesis,Бытие,15,1,5,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,15,1,9,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,15,2,3,יֱהוִה֙,Яхве,Господь
ВЗ,genesis,Бытие,15,4,2,יְהוָ֤ה,Яхве,Господь
ВЗ,genesis,Бытие,15,4,3,אֵלָיו֙,"был к, его",был к нему
ВЗ,genesis,Бытие,15,4,4,לֵאמֹ֔ר,"к, говоря",говоря
ВЗ,genesis,Бытие,15,5,14,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,15,6,1,בַּֽיהוָ֑ה,"в, Яхве","в, Господь"
ВЗ,genesis,Бытие,15,6,3,לּ֖וֹ,"к, его",к нему
ВЗ,genesis,Бытие,15,7,1,אֵלָ֑יו,"к, его",к нему
ВЗ,genesis,Бытие,15,7,3,יְהוָ֗ה,есмь Яхве,есмь Господь
ВЗ,genesis,Бытие,15,8,2,יֱהוִ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,15,9,1,אֵלָ֗יו,"к, его",к нему
ВЗ,genesis,Бытие,15,10,1,ל֣וֹ,"к, его",к нему
ВЗ,genesis,Бытие,15,11,0,וַיֵּ֥רֶד,"и, оно пришёл вниз","и, было вниз"
ВЗ,genesis,Бытие,15,12,0,וַיְהִ֤י,"и, оно был",и было
ВЗ,genesis,Бытие,15,17,0,וַיְהִ֤י,"и, оно был",и было
ВЗ,genesis,Бытие,15,18,3,יְהוָ֛ה,Яхве,Господь
ВЗ,genesis,Бытие,15,18,7,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,16,1,5,ל֑וֹ,"к, его",к нему
ВЗ,genesis,Бытие,16,2,7,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,16,5,16,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,16,7,2,יְהוָ֛ה,Яхве,Господь
ВЗ,genesis,Бытие,16,9,3,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,16,10,3,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,16,11,3,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,16,11,13,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,16,13,2,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,17,1,8,יְהוָ֜ה,Яхве,Господь
ВЗ,genesis,Бытие,17,1,12,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,17,3,7,לֵאמֹֽר\׃,"к, говоря",говоря
ВЗ,genesis,Бытие,18,1,1,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,18,1,2,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,18,9,1,אֵׄלָׄ֔יׄוׄ,"к, его",к нему
ВЗ,genesis,Бытие,18,12,3,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,18,13,1,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,18,13,8,לֵאמֹ֗ר,"к, говоря",говоря
ВЗ,genesis,Бытие,18,14,1,מֵיְהוָ֖ה,"для, Яхве","для, Господь"
ВЗ,genesis,Бытие,18,15,2,לֵאמֹ֛ר,"к, говоря",говоря
ВЗ,genesis,Бытие,18,17,0,וַֽיהֹוָ֖ה,"и, Яхве","и, Господь"
ВЗ,genesis,Бытие,18,19,12,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,18,19,18,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,18,20,1,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,18,22,9,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,18,26,1,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,18,29,3,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,18,33,1,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,19,3,4,אֵלָ֔יו,"к, его",к нему
ВЗ,genesis,Бытие,19,5,4,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,19,13,11,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,19,13,13,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,19,14,15,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,19,15,2,עָלָ֔ה,оно пришёл вверх,было вверх
ВЗ,genesis,Бытие,19,15,6,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,19,16,10,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,19,16,11,עָלָ֑יו,"к, его",к нему
ВЗ,genesis,Бытие,19,17,0,וַיְהִי֩,"и, оно был",и было
ВЗ,genesis,Бытие,19,21,1,אֵלָ֔יו,"к, его",к нему
ВЗ,genesis,Бытие,19,23,1,יָצָ֣א,оно пришёл вне,было вне
ВЗ,genesis,Бытие,19,24,0,וַֽיהוָ֗ה,"и, Яхве","и, Господь"
ВЗ,genesis,Бытие,19,24,9,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,19,27,10,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,19,29,0,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,19,34,0,וַֽיְהִי֙,"и, оно был",и было
ВЗ,genesis,Бытие,20,3,7,ל֗וֹ,"к, его",к нему
ВЗ,genesis,Бытие,20,6,1,אֵלָ֨יו,"к, его",к нему
ВЗ,genesis,Бытие,20,9,4,ל֜וֹ,"к, его",к нему
ВЗ,genesis,Бытие,20,13,0,וַיְהִ֞י,"и, оно был",и было
ВЗ,genesis,Бытие,20,14,9,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,20,18,3,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,21,1,0,וַֽיהוָ֛ה,"и, Яхве","и, Господь"
ВЗ,genesis,Бытие,21,1,7,יְהוָ֛ה,Яхве,Господь
ВЗ,genesis,Бытие,21,3,6,ל֛וֹ,"к, его",к нему
ВЗ,genesis,Бытие,21,3,9,לּ֥וֹ,"к, его",к нему
ВЗ,genesis,Бытие,21,5,5,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,21,11,0,וַיֵּ֧רַע,"и, оно был дисплеасинг",и было дисплеасинг
ВЗ,genesis,Бытие,21,22,0,וַֽיְהִי֙,"и, оно был",и было
ВЗ,genesis,Бытие,21,22,10,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,21,33,7,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,22,1,0,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,22,1,9,אֵלָ֔יו,"к, его",к нему
ВЗ,genesis,Бытие,22,3,23,ל֥וֹ,"к, его",к нему
ВЗ,genesis,Бытие,22,9,5,ל֣וֹ,"к, его",к нему
ВЗ,genesis,Бытие,22,11,1,אֵלָ֜יו,"к, его",к нему
ВЗ,genesis,Бытие,22,11,3,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,22,12,8,ל֖וֹ,"к, его",к нему
ВЗ,genesis,Бытие,22,14,5,יְהוָ֣ה\׀,Яхве,Господь
ВЗ,genesis,Бытие,22,14,11,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,22,15,2,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,22,16,4,יְהוָ֑ה,Яхве,Господь
ВЗ,genesis,Бытие,22,20,0,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,22,20,4,וַיֻּגַּ֥ד,"и, оно был сказал",и было сказал
ВЗ,genesis,Бытие,22,20,6,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,23,3,9,לֵאמֹֽר\׃,"к, говоря",говоря
ВЗ,genesis,Бытие,23,5,5,לֵאמֹ֥ר,"к, говоря",говоря
ВЗ,genesis,Бытие,23,5,6,לֽוֹ\׃,"к, его",к нему
ВЗ,genesis,Бытие,23,8,2,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,23,9,6,ל֔וֹ,"принадлежит к, его",принадлежит к нему
ВЗ,genesis,Бытие,23,10,17,לֵאמֹֽר\׃,"к, говоря",говоря
ВЗ,genesis,Бытие,23,13,6,לֵאמֹ֔ר,"к, говоря",говоря
ВЗ,genesis,Бытие,23,14,4,לֵאמֹ֥ר,"к, говоря",говоря
ВЗ,genesis,Бытие,23,14,5,לֽוֹ\׃,"к, его",к нему
ВЗ,genesis,Бытие,23,17,0,וַיָּ֣קָם\׀,"и, оно был подтвердил",и было подтвердил
ВЗ,genesis,Бытие,23,20,0,וַיָּ֨קָם,"и, оно был подтвердил",и было подтвердил
ВЗ,genesis,Бытие,24,1,4,וַֽיהוָ֛ה,"и, Яхве","и, Господь"
ВЗ,genesis,Бытие,24,2,9,ל֑וֹ,"принадлежал к, его",принадлежал к нему
ВЗ,genesis,Бытие,24,3,1,בַּֽיהוָה֙,"через, Яхве","через, Господь"
ВЗ,genesis,Бытие,24,5,1,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,24,6,1,אֵלָ֖יו,"к, его",к нему
ВЗ,genesis,Бытие,24,7,0,יְהוָ֣ה\׀,Яхве,Господь
ВЗ,genesis,Бытие,24,7,15,לֵאמֹ֔ר,"к, говоря",говоря
ВЗ,genesis,Бытие,24,9,9,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,24,12,1,יְהוָ֗ה,О Яхве,О Господь
ВЗ,genesis,Бытие,24,15,0,וַֽיְהִי\־,"и, оно был",и было
ВЗ,genesis,Бытие,24,21,6,יְהוָ֛ה,Яхве,Господь
ВЗ,genesis,Бытие,24,22,0,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,24,24,1,אֵלָ֔יו,"к, его",к нему
ВЗ,genesis,Бытие,24,25,1,אֵלָ֔יו,"к, его",к нему
ВЗ,genesis,Бытие,24,26,3,לַֽיהוָֽה\׃,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,24,27,2,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,24,27,16,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,24,30,0,וַיְהִ֣י\׀,"и, оно был",и было
ВЗ,genesis,Бытие,24,30,14,לֵאמֹ֔ר,"к, говоря",говоря
ВЗ,genesis,Бытие,24,31,3,יְהוָ֑ה,Яхве,Господь
ВЗ,genesis,Бытие,24,33,0,וַיּוּשַׂ֤ם,"и, оно был положить",и было положить
ВЗ,genesis,Бытие,24,35,0,וַיהוָ֞ה,"и, Яхве","и, Господь"
ВЗ,genesis,Бытие,24,35,7,ל֞וֹ,"к, его",к нему
ВЗ,genesis,Бытие,24,36,9,לּ֖וֹ,"к, его",к нему
ВЗ,genesis,Бытие,24,36,13,לֽוֹ\׃,"принадлежит к, его",принадлежит к нему
ВЗ,genesis,Бытие,24,37,2,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,24,40,2,יְהוָ֞ה,Яхве,Господь
ВЗ,genesis,Бытие,24,42,5,יְהוָה֙,О Яхве,О Господь
ВЗ,genesis,Бытие,24,44,12,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,24,47,13,לּ֖וֹ,"к, его",к нему
ВЗ,genesis,Бытие,24,48,2,לַיהוָ֑ה,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,24,48,5,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,24,50,4,מֵיְהוָ֖ה,"от, Яхве","от, Господь"
ВЗ,genesis,Бытие,24,51,11,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,24,52,0,וַיְהִ֕י,"и, оно был",и было
ВЗ,genesis,Бытие,24,52,9,לַֽיהוָֽה\׃,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,24,56,5,וַֽיהוָ֖ה,"и, Яхве","и, Господь"
ВЗ,genesis,Бытие,25,2,1,ל֗וֹ,"к, его",к нему
ВЗ,genesis,Бытие,25,5,5,ל֖וֹ,"принадлежал к, его",принадлежал к нему
ВЗ,genesis,Бытие,25,11,0,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,25,21,2,לַֽיהוָה֙,"к, Яхве","к, Господь"
ВЗ,genesis,Бытие,25,21,10,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,25,22,12,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,25,23,1,יְהוָ֜ה,Яхве,Господь
ВЗ,genesis,Бытие,25,33,6,ל֑וֹ,"к, его",к нему
ВЗ,genesis,Бытие,26,1,0,וַיְהִ֤י,"и, оно был",и было
ВЗ,genesis,Бытие,26,2,1,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,26,2,2,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,26,5,6,מִשְׁמַרְתִּ֔י,"дутй, мой","долг, мой"
ВЗ,genesis,Бытие,26,8,0,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,26,8,3,ל֥וֹ,"к, его",к нему
ВЗ,genesis,Бытие,26,9,13,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,26,11,5,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,26,12,10,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,26,14,1,ל֤וֹ,"к, его",к нему
ВЗ,genesis,Бытие,26,20,6,לֵאמֹ֖ר,"к, говоря",говоря
ВЗ,genesis,Бытие,26,22,15,יְהוָ֛ה,Яхве,Господь
ВЗ,genesis,Бытие,26,24,1,אֵלָ֤יו,"к, его",к нему
ВЗ,genesis,Бытие,26,24,2,יְהוָה֙,Яхве,Господь
ВЗ,genesis,Бытие,26,25,5,יְהוָ֔ה,Яхве,Господь
ВЗ,genesis,Бытие,26,26,2,אֵלָ֖יו,"к, его",к нему
ВЗ,genesis,Бытие,26,28,5,יְהוָ֣ה\׀,Яхве,Господь
ВЗ,genesis,Бытие,26,29,17,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,26,32,0,וַיְהִ֣י\׀,"и, оно был",и было
ВЗ,genesis,Бытие,26,32,7,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,26,32,14,ל֖וֹ,"к, его",к нему
ВЗ,genesis,Бытие,27,1,0,וַיְהִי֙,"и, оно был",и было
ВЗ,genesis,Бытие,27,1,13,אֵלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,27,1,16,אֵלָ֖יו,"к, его",к нему
ВЗ,genesis,Бытие,27,6,5,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,27,6,14,לֵאמֹֽר\׃,"к, говоря",говоря
ВЗ,genesis,Бытие,27,7,9,יְהוָ֖ה,Яхве,Господь
ВЗ,genesis,Бытие,27,13,1,לוֹ֙,"к, его",к нему
ВЗ,genesis,Бытие,27,20,12,יְהוָ֥ה,Яхве,Господь
ВЗ,genesis,Бытие,27,25,10,לוֹ֙,"к, его",к нему
ВЗ,genesis,Бытие,27,25,13,ל֦וֹ,"к, его",к нему
ВЗ,genesis,Бытие,27,26,1,אֵלָ֖יו,"к, его",к нему
ВЗ,genesis,Бытие,27,27,2,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,27,27,16,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,27,30,0,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,27,30,7,וַיְהִ֗י,"и, оно был",и было
ВЗ,genesis,Бытие,27,32,1,ל֛וֹ,"к, его",к нему
ВЗ,genesis,Бытие,27,37,12,לוֹ֙,"к, его",к нему
ВЗ,genesis,Бытие,27,39,4,אֵלָ֑יו,"к, его",к нему
ВЗ,genesis,Бытие,27,42,0,וַיֻּגַּ֣ד,"и, оно был сказал",и было сказал
ВЗ,genesis,Бытие,27,42,13,אֵלָ֔יו,"к, его",к нему
ВЗ,genesis,Бытие,27,45,9,לּ֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,28,1,8,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,28,6,18,עָלָיו֙,"к, его",к нему
ВЗ,genesis,Бытие,28,6,19,לֵאמֹ֔ר,"к, говоря",говоря
ВЗ,genesis,Бытие,28,13,1,יְהוָ֜ה,Яхве,Господь
ВЗ,genesis,Бытие,28,13,6,יְהוָ֗ה,есмь Яхве,есмь Господь
ВЗ,genesis,Бытие,28,16,6,יְהוָ֔ה,есть Яхве,есть Господь
ВЗ,genesis,Бытие,28,20,3,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,28,21,6,יְהוָ֛ה,Яхве,Господь
ВЗ,genesis,Бытие,29,6,3,ל֑וֹ,"принадлежать к, его",принадлежать к нему
ВЗ,genesis,Бытие,29,10,0,וַיְהִ֡י,"и, оно был",и было
ВЗ,genesis,Бытие,29,13,0,וַיְהִי֩,"и, оно был",и было
ВЗ,genesis,Бытие,29,13,11,לוֹ֙,"к, его",к нему
ВЗ,genesis,Бытие,29,13,13,ל֔וֹ,"к, его",к нему
ВЗ,genesis,Бытие,29,14,1,לוֹ֙,"к, его",к нему
